epoch,lr,train_loss,val_cer,val_wer,val_exact_match,secs
1,0.00019523809523809525,11.632515078499203,100.0,100.0,0.0,18.603587865829468
2,0.00039523809523809526,3.06121559937795,100.0,100.0,0.0,17.803602695465088
3,0.0005952380952380953,2.9061483996255055,100.0,100.0,0.0,17.296875953674316
4,0.0007952380952380952,2.765012474287124,94.53698728282285,95.45454545454545,0.0,17.54493546485901
5,0.0009952380952380953,2.633860633486793,91.34873723804407,92.08754208754209,0.0,17.39618992805481
6,0.0009997394902633398,2.528834138597761,91.31291420383306,92.003367003367,0.0,17.329503774642944
7,0.0009989326777177028,2.4335894811721075,88.37542539853125,92.5925925925926,0.0,17.659687280654907
8,0.0009975802896142372,2.3225021475837346,82.16012896292315,93.35016835016835,0.0,17.698094129562378
9,0.0009956838047694785,2.243923300788516,70.39226222461042,89.8989898989899,0.0,17.255335807800293
10,0.0009932452969617608,2.0916161821002053,71.68189145620634,92.92929292929293,0.0,17.379782915115356
11,0.0009902674326635697,2.027985394001007,71.26992656277987,93.6026936026936,0.0,17.359642505645752
12,0.000986753468125795,1.9906333770070757,64.76804585348378,90.48821548821549,0.0,17.342193603515625
13,0.0009827072458170672,1.9566761226881118,63.20974386530539,88.55218855218855,0.0,17.464582204818726
14,0.0009781331902220746,1.968126152242933,68.79813720222103,84.17508417508418,0.0,17.512917518615723
15,0.0009730363030034552,2.0270716547966003,65.21583378112126,88.46801346801347,0.0,17.443726062774658
16,0.0009674221575325504,1.9249814351399739,62.296256492924954,84.42760942760943,0.0,17.344821214675903
17,0.0009612968927950066,1.880705612046378,77.86136485760343,92.34006734006734,0.0,17.269814491271973
18,0.0009546672066778842,1.8700076228096372,65.07254164427727,90.65656565656566,0.0,17.51934003829956
19,0.0009475403486456163,1.8793676892916362,63.60379724162637,88.21548821548822,0.0,17.820810079574585
20,0.0009399241118128255,1.8302419696535384,60.98871574422353,91.4983164983165,0.0,17.345272064208984
21,0.0009318268244226681,1.8376421247209822,57.04818198101379,82.49158249158249,0.0,17.368992805480957
22,0.0009232573407400219,1.8266046813556127,61.5260612573885,90.23569023569024,0.0,17.423218965530396
23,0.0009142250313694785,1.8411638225827898,60.702131470535555,92.84511784511784,0.0,17.15602397918701
24,0.000904739773008723,1.8875558120863778,56.8690668099588,87.71043771043772,0.0,17.643523693084717
25,0.0008948119376485119,1.8262310794421606,58.839333691563674,93.6026936026936,0.0,17.364707708358765
26,0.0008844523812310526,1.797009791646685,57.01235894680279,87.03703703703704,0.0,17.54369568824768
27,0.0008736724317791902,1.810150072688148,63.962027583736344,93.77104377104376,0.0,17.468581676483154
28,0.0008624838770093804,1.7833611369132996,59.93193623499911,95.87542087542087,0.0,17.161486864089966
29,0.0008508989514419958,1.7937529200599307,54.41518896650546,91.41414141414141,0.0,17.51848292350769
30,0.0008389303230230556,1.7834942908514113,55.59734909546839,89.73063973063974,0.0,17.533588409423828
31,0.0008265910792720146,1.762911271481287,60.361812645531074,93.35016835016835,0.0,17.208446741104126
32,0.0008138947129707517,1.7573333694821311,61.00662726132904,89.3097643097643,0.0,17.417829751968384
33,0.0008008551074094108,1.78358450957707,59.16174099946265,92.67676767676768,0.0,17.367359399795532
34,0.000787486521205228,1.7882213904744102,61.5260612573885,93.68686868686869,0.0,17.186626434326172
35,0.0007738035727109418,1.8088259753726779,59.71699802973312,86.61616161616162,0.0,17.452884435653687
36,0.0007598212240298398,1.7948495887574696,63.782912412681355,85.6902356902357,0.0,17.45234203338623
37,0.0007455547646549179,1.7636274383181618,63.926204549525345,84.17508417508418,0.0,17.39043092727661
38,0.0007310197947500445,1.7433384373074485,63.1201862797779,85.52188552188552,0.0,17.53440570831299
39,0.0007162322080914106,1.7340591180892218,53.465878559914024,85.01683501683502,0.0,17.323561668395996
40,0.0007012081746879177,1.7582628443127586,63.890381515314346,85.43771043771044,0.0,17.21260905265808
41,0.0006859641230995123,1.7556267437480746,55.00626903098692,86.27946127946127,0.0,17.556716680526733
42,0.0006705167224727955,1.7480441729227703,53.59125917965252,80.72390572390573,0.0,17.291857481002808
43,0.0006548828643135558,1.7641997053509666,62.224610424502956,88.72053872053873,0.0,17.580307960510254
44,0.0006390796440161566,1.7549800390288943,53.501701594125024,80.55555555555556,0.0,17.581613779067993
45,0.0006231243421699724,1.7256953971726554,54.32563138097797,80.55555555555556,0.0,17.229737997055054
46,0.0006070344056633189,1.7260806418600536,52.695683324377576,81.73400673400674,0.0,17.754913806915283
47,0.0005908274286055358,1.7558677792549133,61.38276912054451,92.84511784511784,0.0,17.56063413619995
48,0.0005745211330880871,1.7528264806384133,63.28138993372739,90.31986531986531,0.0,17.361489295959473
49,0.0005581333498057153,1.7332890771684193,52.85688697832706,83.83838383838383,0.0,17.36421823501587
50,0.0005416819985588359,1.7164416369937716,61.740999462654486,95.03367003367003,0.0,17.151991844177246
51,0.0005251850686585015,1.6958987684476943,51.63890381515314,82.65993265993266,0.0,17.387296199798584
52,0.0005086605992553523,1.6945025154522486,51.56725774673115,80.21885521885523,0.0,17.52042269706726
53,0.0004921266596140711,1.6715975148337228,64.44563854558481,94.6969696969697,0.0,17.449729919433594
54,0.0004756013293549067,1.6913643536113558,48.77306107827333,77.44107744107744,0.0,17.353973627090454
