epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4542,1.88124,2.17054,1.54825,0.69569,0.68994,0.7021,0.30265,1.78325,1.44402,1.5628,0.00055258,0.00055258,0.00055258
2,53.7459,1.54063,1.1736,1.29083,0.81048,0.84454,0.86639,0.46551,1.46995,1.05393,1.35215,0.000559664,0.000559664,0.000559664
