epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0881,1.88124,2.17054,1.54825,0.69569,0.68994,0.7021,0.30265,1.78325,1.44402,1.5628,0.00055258,0.00055258,0.00055258
2,70.6096,1.63249,1.26186,1.35048,0.72996,0.77863,0.82995,0.38617,1.62035,1.20036,1.44503,0.0010863,0.0010863,0.0010863
