epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1582.2,1.20703,0.78531,1.12529,0.86391,0.89667,0.92378,0.55863,1.23359,0.75458,1.2339,0.000990365,0.000990365,0.000990365
43,1618.9,1.17264,0.76183,1.1113,0.8937,0.90782,0.93497,0.57229,1.23119,0.74517,1.24059,0.000973861,0.000973861,0.000973861
44,1656.19,1.17214,0.7615,1.1078,0.88216,0.9162,0.9367,0.56723,1.24804,0.74609,1.27229,0.000957358,0.000957358,0.000957358
45,1692.87,1.17491,0.75274,1.11993,0.86583,0.91341,0.9333,0.56395,1.23306,0.75426,1.24999,0.000940855,0.000940855,0.000940855
46,1730.14,1.17427,0.75787,1.12553,0.85401,0.91341,0.92547,0.54305,1.27668,0.77344,1.25814,0.000924352,0.000924352,0.000924352
47,1767.82,1.14874,0.75758,1.11044,0.86711,0.90964,0.9076,0.55393,1.22957,0.75541,1.24347,0.000907848,0.000907848,0.000907848
48,1805.02,1.17039,0.75881,1.11042,0.87034,0.90312,0.92807,0.56246,1.22187,0.75054,1.23501,0.000891345,0.000891345,0.000891345
49,1841.71,1.14268,0.74019,1.09698,0.86808,0.87501,0.90414,0.55628,1.24516,0.74442,1.24574,0.000874842,0.000874842,0.000874842
50,1879.6,1.16669,0.7537,1.10861,0.87426,0.9076,0.93232,0.54303,1.33546,0.75679,1.259,0.000858338,0.000858338,0.000858338
51,1916.38,1.14057,0.74022,1.0883,0.91263,0.89947,0.93537,0.55208,1.249,0.72623,1.25081,0.000841835,0.000841835,0.000841835
52,1953.82,1.13695,0.72494,1.09425,0.88465,0.89361,0.93437,0.58199,1.23953,0.70205,1.2642,0.000825332,0.000825332,0.000825332
53,1991.93,1.1336,0.72603,1.09055,0.87845,0.88547,0.91517,0.5693,1.21566,0.74501,1.24191,0.000808828,0.000808828,0.000808828
54,2028.64,1.12524,0.72921,1.08798,0.88692,0.87526,0.92256,0.56737,1.23773,0.73266,1.24284,0.000792325,0.000792325,0.000792325
55,2066.31,1.12147,0.71231,1.08741,0.88984,0.88275,0.92126,0.56151,1.23067,0.71761,1.22908,0.000775822,0.000775822,0.000775822
56,2104.61,1.11005,0.69422,1.08131,0.85735,0.91061,0.9173,0.57541,1.23414,0.69483,1.24702,0.000759318,0.000759318,0.000759318
57,2141.31,1.1083,0.70177,1.07511,0.81581,0.8955,0.88541,0.54536,1.24464,0.75229,1.24959,0.000742815,0.000742815,0.000742815
58,2178.48,1.1243,0.71535,1.08215,0.86122,0.91247,0.91972,0.58364,1.18376,0.74188,1.2291,0.000726312,0.000726312,0.000726312
59,2216.11,1.09149,0.69489,1.06632,0.8616,0.88626,0.9174,0.57831,1.21967,0.69634,1.23629,0.000709809,0.000709809,0.000709809
60,2252.91,1.0979,0.68802,1.06853,0.88232,0.88383,0.92932,0.57616,1.25026,0.71475,1.25489,0.000693305,0.000693305,0.000693305
61,2289.33,1.08576,0.67556,1.06671,0.88977,0.90112,0.92314,0.57507,1.22708,0.69325,1.2744,0.000676802,0.000676802,0.000676802
62,2326.08,1.10642,0.68867,1.07658,0.86555,0.87476,0.90135,0.56482,1.20621,0.69161,1.24486,0.000660299,0.000660299,0.000660299
63,2362.16,1.09105,0.67465,1.0685,0.88469,0.89928,0.91152,0.55742,1.24452,0.68241,1.28852,0.000643795,0.000643795,0.000643795
64,2398.2,1.0686,0.67596,1.06476,0.86095,0.9162,0.91731,0.5638,1.2246,0.69904,1.26776,0.000627292,0.000627292,0.000627292
65,2433.93,1.08045,0.66684,1.06196,0.89178,0.91716,0.92769,0.57323,1.22907,0.69718,1.26884,0.000610789,0.000610789,0.000610789
66,2469.69,1.0542,0.65272,1.05178,0.8696,0.91341,0.91947,0.56132,1.22739,0.69433,1.24282,0.000594286,0.000594286,0.000594286
67,2505.6,1.06337,0.66793,1.0614,0.87922,0.87709,0.91494,0.56316,1.19737,0.71557,1.23954,0.000577782,0.000577782,0.000577782
68,2541.74,1.05741,0.65534,1.05316,0.88453,0.91562,0.93089,0.58014,1.22837,0.69178,1.26807,0.000561279,0.000561279,0.000561279
69,2577.67,1.05446,0.64161,1.05489,0.88769,0.89397,0.9219,0.56958,1.23355,0.70235,1.26151,0.000544776,0.000544776,0.000544776
70,2613.48,1.03772,0.64855,1.04907,0.85315,0.87321,0.90572,0.56304,1.20982,0.7085,1.23988,0.000528272,0.000528272,0.000528272
71,2649.37,1.05028,0.64668,1.04928,0.89464,0.90125,0.92419,0.582,1.19339,0.69279,1.23365,0.000511769,0.000511769,0.000511769
72,2685.22,1.0447,0.63878,1.05561,0.87241,0.9173,0.91911,0.57009,1.23031,0.69997,1.28248,0.000495266,0.000495266,0.000495266
73,2726.35,1.03455,0.63743,1.04443,0.89837,0.87657,0.91629,0.57194,1.21737,0.70057,1.26967,0.000478762,0.000478762,0.000478762
