epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2336.08,1.13491,0.71307,1.09614,0.88811,0.86311,0.89923,0.55791,1.22936,0.75188,1.24336,0.000821206,0.000821206,0.000821206
43,2391.26,1.13351,0.71221,1.09011,0.85263,0.85947,0.90436,0.55392,1.25603,0.75021,1.25938,0.000800577,0.000800577,0.000800577
44,2446.45,1.12211,0.70683,1.08841,0.8797,0.90275,0.91871,0.55916,1.27471,0.71377,1.294,0.000779948,0.000779948,0.000779948
45,2501.84,1.12095,0.71524,1.09556,0.86005,0.90503,0.90928,0.5638,1.2467,0.72796,1.27911,0.000759318,0.000759318,0.000759318
46,2557.42,1.09418,0.6905,1.07184,0.87217,0.8743,0.90328,0.55085,1.26823,0.73794,1.3041,0.000738689,0.000738689,0.000738689
47,2612.49,1.10373,0.68679,1.08028,0.87397,0.88895,0.91547,0.55483,1.24667,0.70875,1.25194,0.00071806,0.00071806,0.00071806
48,2667.92,1.10281,0.69945,1.08372,0.86816,0.90059,0.93022,0.56642,1.25504,0.72469,1.28173,0.000697431,0.000697431,0.000697431
49,2723.54,1.0849,0.67318,1.07013,0.87982,0.89665,0.91541,0.56294,1.22925,0.69073,1.25602,0.000676802,0.000676802,0.000676802
50,2778.74,1.07457,0.68183,1.06897,0.88344,0.89385,0.9249,0.55794,1.24701,0.70799,1.2562,0.000656173,0.000656173,0.000656173
51,2834.05,1.07545,0.65988,1.06939,0.8579,0.85181,0.89575,0.5462,1.24157,0.72223,1.26495,0.000635544,0.000635544,0.000635544
52,2889.58,1.06481,0.66497,1.06364,0.89372,0.90301,0.92472,0.57606,1.20176,0.67684,1.25099,0.000614915,0.000614915,0.000614915
53,2944.9,1.06512,0.65419,1.0579,0.86329,0.90655,0.92388,0.57089,1.20623,0.69616,1.25136,0.000594286,0.000594286,0.000594286
54,3000.46,1.04501,0.64202,1.05351,0.86485,0.91105,0.90121,0.55632,1.21954,0.6886,1.27716,0.000573656,0.000573656,0.000573656
55,3056.61,1.03787,0.62612,1.05468,0.88707,0.86034,0.91748,0.58183,1.17741,0.69246,1.24103,0.000553027,0.000553027,0.000553027
56,3111.82,1.03716,0.63179,1.04774,0.86828,0.90223,0.90796,0.56085,1.22028,0.6898,1.26693,0.000532398,0.000532398,0.000532398
57,3167.16,1.01887,0.62713,1.04654,0.88478,0.8905,0.92144,0.56524,1.21359,0.67127,1.2614,0.000511769,0.000511769,0.000511769
58,3222.84,1.02039,0.62293,1.0471,0.87973,0.91061,0.93436,0.56829,1.21732,0.67835,1.23669,0.00049114,0.00049114,0.00049114
59,3277.83,1.01648,0.61294,1.04638,0.86604,0.91341,0.91522,0.56818,1.18692,0.6771,1.24462,0.000470511,0.000470511,0.000470511
60,3333.16,1.00259,0.59901,1.03428,0.8866,0.88547,0.91709,0.55952,1.2085,0.67823,1.26994,0.000449882,0.000449882,0.000449882
61,3388.42,1.00095,0.60064,1.04034,0.90192,0.89944,0.92177,0.57078,1.23832,0.65867,1.26737,0.000429253,0.000429253,0.000429253
62,3443.64,1.00086,0.59796,1.03486,0.87836,0.93443,0.93154,0.58405,1.23002,0.65183,1.2727,0.000408623,0.000408623,0.000408623
63,3499.17,0.98398,0.59144,1.03934,0.89463,0.89391,0.91588,0.57543,1.20334,0.66279,1.25611,0.000387994,0.000387994,0.000387994
64,3554.53,0.97905,0.58023,1.02352,0.87919,0.91061,0.93446,0.57416,1.24643,0.68763,1.26902,0.000367365,0.000367365,0.000367365
65,3609.76,0.96616,0.57481,1.02525,0.88879,0.89591,0.91841,0.57006,1.21648,0.68393,1.26936,0.000346736,0.000346736,0.000346736
66,3664.81,0.94991,0.55736,1.01171,0.87042,0.90503,0.90518,0.55964,1.2485,0.68428,1.30127,0.000326107,0.000326107,0.000326107
67,3720.59,0.9499,0.55851,1.02657,0.87133,0.89767,0.90946,0.57078,1.20783,0.65823,1.26836,0.000305478,0.000305478,0.000305478
68,3775.82,0.93784,0.544,1.01616,0.87691,0.88985,0.90823,0.55877,1.24275,0.67925,1.28992,0.000284849,0.000284849,0.000284849
69,3831.12,0.94012,0.54129,1.00835,0.87459,0.90452,0.90597,0.56304,1.21279,0.67544,1.26575,0.00026422,0.00026422,0.00026422
70,3886.42,0.93137,0.53588,1.01578,0.88179,0.90503,0.91315,0.56446,1.21733,0.66368,1.27029,0.00024359,0.00024359,0.00024359
71,3969.74,0.9093,0.54559,1.00355,0.8827,0.8879,0.91928,0.56211,1.24325,0.64142,1.29796,0.000222961,0.000222961,0.000222961
72,4024.77,0.88675,0.51729,1.00681,0.87543,0.91285,0.91841,0.57008,1.22669,0.68823,1.26479,0.000202332,0.000202332,0.000202332
73,4080.33,0.88223,0.51609,1.00109,0.8921,0.90223,0.90951,0.55858,1.21986,0.66872,1.27244,0.000181703,0.000181703,0.000181703
74,4135.38,0.8683,0.50499,0.99641,0.87629,0.90318,0.9023,0.54762,1.24831,0.66663,1.29802,0.000161074,0.000161074,0.000161074
75,4190.47,0.86658,0.49802,0.99033,0.86415,0.91061,0.8992,0.55561,1.22634,0.67869,1.27889,0.000140445,0.000140445,0.000140445
76,4245.64,0.84988,0.49204,0.99272,0.87595,0.90532,0.91586,0.55934,1.23446,0.67945,1.28464,0.000119816,0.000119816,0.000119816
77,4301.07,0.83451,0.48326,0.97977,0.85735,0.92737,0.90482,0.55898,1.2556,0.67824,1.30951,9.91865e-05,9.91865e-05,9.91865e-05
78,4356.12,0.82993,0.47143,0.97843,0.87043,0.90585,0.88937,0.54873,1.24973,0.67001,1.31541,7.85574e-05,7.85574e-05,7.85574e-05
79,4411.15,0.81948,0.46863,0.96735,0.90132,0.89983,0.90729,0.55682,1.28777,0.64339,1.33252,5.79283e-05,5.79283e-05,5.79283e-05
80,4466.39,0.82429,0.46779,0.97112,0.88009,0.90782,0.90518,0.55667,1.25608,0.66295,1.30986,3.72991e-05,3.72991e-05,3.72991e-05
