epoch,lr,train_loss,val_paw_wer,val_paw_cer,val_raw_cer_concat,val_exact_match,secs
1,3.3082706766917295e-05,2.7695739669388053,58.863819500402904,48.200054960153885,56.50251256281407,0.0,81.62514209747314
2,4.9962900612981524e-05,1.156832867844191,53.94842868654311,42.42923880186864,50.11055276381909,1.1173184357541899,80.79669570922852
3,4.966170917847295e-05,0.9558588553603977,42.465753424657535,34.19895575707612,39.41708542713568,2.2346368715083798,78.77082824707031
4,4.906127586863272e-05,0.7801125350519807,35.81788879935536,27.851057982962352,30.974874371859297,7.82122905027933,76.98658537864685
5,4.816888626080455e-05,0.6125092809309036,34.60918614020951,25.364111019510855,27.758793969849247,14.525139664804469,82.37838387489319
6,4.699536849093963e-05,0.50427925970644,30.25785656728445,21.255839516350648,22.974874371859297,16.75977653631285,81.0100257396698
7,4.555496186644558e-05,0.3865360972162824,27.598710717163577,19.263533937895026,20.743718592964825,13.966480446927374,82.67287373542786
8,4.386514408833793e-05,0.30941920261051825,26.349717969379533,18.342951360263807,19.718592964824122,16.201117318435752,82.4605987071991
9,4.1946419179157484e-05,0.2409734931050652,24.93956486704271,16.611706512778238,17.306532663316585,16.75977653631285,81.26684141159058
10,3.982206868990758e-05,0.18941396233057578,23.851732473811442,15.856004396812311,16.44221105527638,21.22905027932961,81.48123455047607
11,3.7517869204833245e-05,0.1412223599893936,25.302175664786464,16.58422643583402,17.326633165829147,21.787709497206706,83.0120575428009
12,3.506177957180111e-05,0.10503286246436033,22.72360999194198,14.949161857653202,16.040201005025125,27.374301675977655,82.44536089897156
13,3.2483601653384944e-05,0.08429219765951182,22.36099919419823,14.660621049738939,15.055276381909549,24.022346368715084,80.96177268028259
14,2.9814618715057625e-05,0.06253009185021156,23.448831587429492,14.880461665292662,15.678391959798995,18.435754189944134,82.60669183731079
15,2.708721583823885e-05,0.04826014381826889,22.88477034649476,15.004122011541632,15.678391959798995,24.58100558659218,81.30561256408691
16,2.433448696405563e-05,0.038019295063578006,21.998388396454473,13.671338279747184,14.150753768844222,25.139664804469273,81.74239110946655
17,2.15898333358942e-05,0.03228800728135453,22.32070910556003,14.28964001099203,14.814070351758794,25.139664804469273,82.3711154460907
18,1.8886558213187325e-05,0.023544216628148627,21.474617244157937,13.135476779334983,13.507537688442211,23.463687150837988,82.55715131759644
19,1.6257462774125973e-05,0.01842028680848899,21.95809830781628,13.643858202802967,13.92964824120603,24.022346368715084,83.06526160240173
20,1.3734448110557296e-05,0.011358620817353105,20.910556003223206,12.737015663643858,12.944723618090451,28.491620111731844,81.77803826332092
21,1.1348128144409906e-05,0.005662609587891799,21.192586623690573,12.984336356141798,13.165829145728644,25.69832402234637,81.86865878105164
22,9.127458162466368e-06,0.0037062361434614093,20.70910556003223,12.860676009892828,13.185929648241206,25.139664804469273,82.2081549167633
23,7.099383476792468e-06,0.0033206366189363285,20.870265914585012,12.737015663643858,12.804020100502512,27.932960893854748,81.84327507019043
24,5.288512473930354e-06,0.00136223783274773,20.70910556003223,12.888156086837043,13.165829145728644,25.139664804469273,82.1000759601593
25,3.716818020032914e-06,0.00047873500277210876,20.628525382755843,13.039296510030228,13.386934673366834,25.69832402234637,82.31422472000122
26,2.4033708450495266e-06,0.00038711580111952656,20.789685737308623,13.039296510030228,13.326633165829145,26.256983240223462,79.5626323223114
27,1.3641081410436686e-06,0.0002444530563148053,21.192586623690573,13.341577356416598,13.628140703517587,26.81564245810056,77.17939782142639
28,6.11640182439488e-07,0.00024535514140377747,20.910556003223206,13.02555647155812,13.306532663316583,26.81564245810056,76.88346195220947
29,1.5509731464126985e-07,0.0002427348145160635,21.11200644641418,13.231657048639736,13.467336683417086,26.81564245810056,77.99050116539001
30,1.9167645493034514e-11,0.00021600507532684913,21.11200644641418,13.231657048639736,13.467336683417086,26.81564245810056,82.54478478431702
