epoch,lr,train_loss,val_cer,val_wer,val_exact_match,secs
1,3.3070866141732284e-05,2.7477796177653704,100.0,100.0,0.0,137.52557468414307
2,4.996294095829926e-05,0.672430946897058,100.0,100.0,0.0,112.84961318969727
3,4.9661834851800624e-05,0.5529707930543843,100.0,100.0,0.0,126.25519847869873
4,4.906149089003764e-05,0.49520792496554994,100.0,100.0,0.0,123.932541847229
5,4.8169193431235004e-05,0.4325228924698689,100.0,100.0,0.0,123.7800760269165
6,4.699576929259566e-05,0.35496155461844275,100.0,100.0,0.0,127.62711238861084
