epoch,lr,train_loss,val_digit_acc,val_pct_no_err,val_pct_1_err,val_pct_2plus_err,secs
1,0.00019545454545454548,17.677679825912822,0.0,0.0,0.0,100.0,11.698654413223267
2,0.00039545454545454546,2.4417477629401465,0.0,0.0,0.0,100.0,4.322661399841309
3,0.0005954545454545455,2.178071842952208,0.1273885350318471,0.0,0.0,100.0,4.136191129684448
4,0.0007954545454545455,2.0088464428078043,10.955414012738851,0.0,0.0,100.0,3.874263286590576
5,0.0009954545454545455,1.717888287522576,14.904458598726112,0.0,0.5649717514124294,99.43502824858757,3.8946704864501953
6,0.0009997389123665406,1.0888682034882633,76.17834394904459,31.073446327683616,42.93785310734463,25.98870056497175,3.7548675537109375
7,0.0009989315087865626,0.6032331911000338,74.77707006369427,33.898305084745765,35.02824858757062,31.073446327683616,3.8252506256103516
8,0.000997578530926965,0.38085706396536395,90.70063694267516,68.92655367231639,25.423728813559322,5.649717514124294,4.156302213668823
9,0.000995681458249173,0.27825938537716866,93.63057324840764,75.70621468926554,20.903954802259886,3.389830508474576,3.9496164321899414
10,0.0009932423651743075,0.22216919978911226,94.90445859872611,81.92090395480226,15.819209039548022,2.2598870056497176,3.958303451538086
11,0.0009902639188148353,0.2391728088259697,92.73885350318471,76.27118644067797,16.949152542372882,6.779661016949152,3.853101968765259
12,0.0009867493760581214,0.22185429592024197,90.70063694267516,74.01129943502825,17.51412429378531,8.474576271186441,3.749967098236084
13,0.0009827025800050702,0.21125388399443842,94.26751592356688,79.09604519774011,16.949152542372882,3.9548022598870056,3.715055227279663
14,0.0009781279557677515,0.16527698629281737,94.52229299363057,81.35593220338983,15.819209039548022,2.824858757062147,3.677401065826416
15,0.0009730305056306044,0.15840209732678803,95.54140127388536,83.61581920903954,14.124293785310735,2.2598870056497176,3.775644063949585
16,0.0009674158035805143,0.1443233166567304,93.5031847133758,76.8361581920904,19.774011299435028,3.389830508474576,4.0774548053741455
17,0.0009612899892117385,0.13484444189816713,93.5031847133758,77.96610169491525,16.949152542372882,5.084745762711864,3.894575357437134
18,0.0009546597610123511,0.11338401450352235,96.30573248407643,87.00564971751412,10.734463276836157,2.2598870056497176,4.05932879447937
19,0.0009475323690395439,0.09354814235121012,95.92356687898089,87.00564971751412,10.169491525423728,2.824858757062147,4.0446178913116455
20,0.0009399156069917961,0.1044860544021834,92.73885350318471,72.88135593220339,22.598870056497177,4.519774011299435,3.704967737197876
21,0.0009318178036865785,0.1084204499440437,91.3375796178344,70.62146892655367,23.163841807909606,6.214689265536723,3.7491655349731445
22,0.0009232478139529148,0.1280664631419561,96.94267515923568,89.26553672316385,9.03954802259887,1.694915254237288,3.7905430793762207
23,0.0009142150089487553,0.09363471911373464,94.52229299363057,80.7909604519774,15.819209039548022,3.389830508474576,3.9204869270324707
24,0.0009047292659137541,0.10249829410829327,95.03184713375796,83.05084745762711,14.124293785310735,2.824858757062147,4.137340068817139
25,0.0008948009573686511,0.07231363941999999,96.30573248407643,85.87570621468926,12.429378531073446,1.694915254237288,3.805088758468628
26,0.0008844409397730748,0.06673024378886278,94.77707006369427,81.35593220338983,15.254237288135593,3.389830508474576,3.9083104133605957
27,0.0008736605416541617,0.06671990348364819,95.6687898089172,85.31073446327683,10.734463276836157,3.9548022598870056,3.996073007583618
28,0.0008624715512189784,0.0835862726565789,93.7579617834395,77.40112994350282,19.774011299435028,2.824858757062147,3.725780487060547
29,0.0008508862034642908,0.0844824129969559,96.94267515923568,88.70056497175142,10.169491525423728,1.1299435028248588,3.732262372970581
30,0.0008389171667977745,0.056981508090922776,96.94267515923568,89.26553672316385,7.909604519774011,2.824858757062147,3.8817436695098877
